study_id,site_id,year,rye_planting_date,rye_sampling_date,N_rate_fall_kg_N_ha,N_rate_spring_kg_N_ha,cultivar,rep,shoot_biomass_mean_kg_ha,shoot_biomass_sd,shoot_N_mean,shoot_N_sd,N_content_units,shoot_CN_ratio_mean,shoot_CN_ratio_sd,seeding_rate,seeding_rate_units,cumulative_GDD,base_temp_C,growth_stage_at_termination,plant_population,plant_population_units,plant_population_date,tiller_density,tillers_units,month_sampled
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Maton,2,4500,NA,94.41,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Maton,3,2850,NA,69.29,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Oklon,1,4100,NA,99.2,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Oklon,2,3530,NA,82.7,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Oklon,3,3780,NA,85.44,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Rymin,1,3160,NA,78.32,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Rymin,2,3030,NA,77.59,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Rymin,3,2220,NA,59.94,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Wheeler,1,3140,NA,74.79,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Wheeler,2,2860,NA,68.67,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Wheeler,3,1460,NA,43.46,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Aroostook,1,1450,NA,42.11,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Aroostook,2,1510,NA,42.7,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Aroostook,3,1230,NA,44.79,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Dacold,1,1870,NA,57.16,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Dacold,2,2730,NA,68,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Dacold,3,1630,NA,51.82,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Elbon,1,2110,NA,60.99,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Elbon,2,1290,NA,44.2,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Elbon,3,2300,NA,64.27,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Maton,1,2400,NA,88.34,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Maton,2,1240,NA,40.61,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Maton,3,1140,NA,40.48,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Oklon,1,660,NA,24.72,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Oklon,2,850,NA,30.73,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Oklon,3,740,NA,27.42,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Rymin,1,1480,NA,46.97,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Rymin,2,1610,NA,50.44,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Rymin,3,1280,NA,43.35,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Wheeler,1,1630,NA,55.2,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Wheeler,2,1340,NA,46.35,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,10/25/2006,5/10/2007,0,0,Wheeler,3,1360,NA,48.64,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,717,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Aroostook,1,1770,NA,41.37,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Aroostook,2,2190,NA,50.5,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Aroostook,3,1360,NA,28.99,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Dacold,1,1620,NA,35.59,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Dacold,2,1010,NA,21.13,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Dacold,3,1650,NA,36.07,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Elbon,1,1610,NA,42.06,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Elbon,2,1350,NA,27.92,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Elbon,3,600,NA,13.32,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Maton,1,1840,NA,47.45,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Maton,2,1110,NA,26.77,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Maton,3,1390,NA,36.14,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Oklon,1,750,NA,20,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Oklon,2,1000,NA,23.5,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Oklon,3,990,NA,26.57,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Rymin,1,1730,NA,36.75,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Rymin,2,1210,NA,26.19,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Rymin,3,1450,NA,35.79,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Wheeler,1,1720,NA,51.7,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Wheeler,2,960,NA,18.37,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,10/20/2008,5/8/2009,0,0,Wheeler,3,1090,NA,30.9,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,590,4,NA,NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2004-2005,9/24/2004,5/17/2005,0,0,FS Hi Rye,1,6430,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2004-2005,9/24/2004,5/17/2005,0,0,FS Hi Rye,2,11000,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2004-2005,9/24/2004,5/17/2005,0,0,FS Hi Rye,3,7070,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2004-2005,9/24/2004,5/17/2005,0,0,FS Hi Rye,4,6350,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2005-2006,9/21/2005,5/22/2006,0,0,FS Hi Rye,1,8180,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2005-2006,9/21/2005,5/22/2006,0,0,FS Hi Rye,2,6810,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2005-2006,9/21/2005,5/22/2006,0,0,FS Hi Rye,3,4750,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2005-2006,9/21/2005,5/22/2006,0,0,FS Hi Rye,4,4510,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2006-2007,9/20/2006,5/22/2007,0,0,FS Hi Rye,1,4310,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2006-2007,9/20/2006,5/22/2007,0,0,FS Hi Rye,2,4420,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2006-2007,9/20/2006,5/22/2007,0,0,FS Hi Rye,3,8500,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
2,Crop Science Research and Education Center (CSREC),2006-2007,9/20/2006,5/22/2007,0,0,FS Hi Rye,4,4190,NA,NA,NA,NA,NA,NA,112,kg/ha,NA,NA,Zadoks 69 (late anthesis),NA,NA,NA,NA,NA,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,1,12590,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),33,plants/m2,Zadoks 22 (early tillering),472,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,1,5550,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),27,plants/m2,Zadoks 22 (early tillering),136,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,1,13940,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),38,plants/m2,Zadoks 22 (early tillering),504,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,1,17210,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),32,plants/m2,Zadoks 22 (early tillering),800,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,1,16030,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),24,plants/m2,Zadoks 22 (early tillering),480,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,1,8740,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),30,plants/m2,Zadoks 22 (early tillering),232,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,1,16510,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),28,plants/m2,Zadoks 22 (early tillering),680,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,1,17990,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),25,plants/m2,Zadoks 22 (early tillering),680,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,1,11850,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),36,plants/m2,Zadoks 22 (early tillering),376,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,12620,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),21,plants/m2,Zadoks 22 (early tillering),440,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,14420,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),26,plants/m2,Zadoks 22 (early tillering),464,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,11500,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),25,plants/m2,Zadoks 22 (early tillering),336,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,13260,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),23,plants/m2,Zadoks 22 (early tillering),400,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,13820,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),26,plants/m2,Zadoks 22 (early tillering),328,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,14010,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),16,plants/m2,Zadoks 22 (early tillering),424,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,13760,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),24,plants/m2,Zadoks 22 (early tillering),464,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,14850,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),19,plants/m2,Zadoks 22 (early tillering),520,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,12810,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),20,plants/m2,Zadoks 22 (early tillering),360,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,2,14110,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),23,plants/m2,Zadoks 22 (early tillering),448,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,14500,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),26,plants/m2,Zadoks 22 (early tillering),528,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,14580,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),34,plants/m2,Zadoks 22 (early tillering),624,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,10490,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),32,plants/m2,Zadoks 22 (early tillering),408,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,11910,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),26,plants/m2,Zadoks 22 (early tillering),488,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,10840,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),29,plants/m2,Zadoks 22 (early tillering),440,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,10470,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),21,plants/m2,Zadoks 22 (early tillering),384,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,12960,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),27,plants/m2,Zadoks 22 (early tillering),472,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,11550,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),26,plants/m2,Zadoks 22 (early tillering),384,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,17030,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),16,plants/m2,Zadoks 22 (early tillering),560,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,FS Hi Rye,3,16770,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),23,plants/m2,Zadoks 22 (early tillering),624,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,Aroostook,1,4770,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),27,plants/m2,Zadoks 22 (early tillering),360,tillers/m2,5
3,Crop Science Research and Education Center (CSREC),2007-2008,9/17/2007,5/21/2008,0,0,Aroostook,1,4610,NA,NA,NA,NA,NA,NA,135,kg/ha,NA,NA,Zadoks 69 (late anthesis),29,plants/m2,Zadoks 22 (early tillering),344,tillers/m2,5
