study_id,site_id,year,previous_crop,next_crop,planting_method,fall_tillage,row_spacing,row_spacing_units,N_fertilization,fertilizer_form,N_rate_fall_date,N_rate_spring_date,Notes
8,Beltsville Agricultural Research Center,2010-2011,Sorghum sudan grass,,Drilled,Conventiol till,19,cm,Yes,Ammonium nitrate,10/25/2010,,
8,Beltsville Agricultural Research Center,2011-2012,Sorghum sudan grass,,Drilled,Conventiol till,19,cm,Yes,Ammonium nitrate,10/6/2011,,
8,Russell E. Larson Agricultural Research Center,2011-2012,Spring oat,,Drilled,Conventiol till,19,cm,Yes,UAN,9/19/2011,,
8,"Caswell Research Station, Kinston",2011-2012,Corn,,Drilled,Conventiol till,19,cm,Yes,Urea,11/22/2011,,
8,"Piedmont Research Station, Salisbury",2011-2012,Corn,,Drilled,Conventiol till,19,cm,Yes,Urea,11/21/2011,,
9,Crookston,2014-2015,,,Drilled,,19,cm,Yes,Coated urea,No,3/29/2015,
9,Crookston,2015-2016,,,Drilled,,19,cm,Yes,Coated urea,No,3/29/2016,
9,Lamberton,2014-2015,,,Drilled,,19,cm,No,No,No,No,
9,Lamberton,2015-2016,,,Drilled,,19,cm,No,No,No,No,
9,Saint Paul,2014-2015,,,Drilled,,19,cm,Yes,Coated urea,No,3/29/2015,
9,Saint Paul,2015-2016,,,Drilled,,19,cm,Yes,Coated urea,No,3/29/2016,
10,E.V. Smith Research Center,2010-2011,,,Drilled,No-till,,,Yes,Ammonium nitrate,No,2/16/2011,
10,E.V. Smith Research Center,2011-2012,,,Drilled,No-till,,,Yes,Ammonium nitrate,No,2/24/2012,
10,Tennessee Valley Research and Extension Center,2011-2012,,,Drilled,No-till,,,Yes,Ammonium nitrate,,12/9/2011,
10,E.V. Smith Research Center,2012-2013,,,Drilled,No-till,,,Yes,Ammonium nitrate,No,,
10,Tennessee Valley Research and Extension Center,2012-2013,,,Drilled,No-till,,,Yes,Ammonium nitrate,No,3/3/2013,
10,E.V. Smith Research Center,2013-2014,,,Drilled,No-till,,,Yes,Ammonium nitrate,No,2/18/2014,
11,Wiregrass Research and Extension Center,2005-2006,,Cotton,Drilled,Conventiol till,19,cm,Yes,Ammonium nitrate,12/12/2005,No,
11,Wiregrass Research and Extension Center,2005-2006,,Cotton,Drilled,Conventiol till,19,cm,Yes,Ammonium nitrate,No,2/8/2005,
11,Wiregrass Research and Extension Center,2005-2006,,Cotton,Drilled,Conventiol till,19,cm,Yes,Poultry litter,12/12/2005,No,
11,Wiregrass Research and Extension Center,2005-2006,,Cotton,Drilled,Conventiol till,19,cm,Yes,Poultry litter,No,2/8/2006,
11,Wiregrass Research and Extension Center,2006-2007,,Cotton,Drilled,No-till,19,cm,Yes,Ammonium nitrate,12/4/2006,No,
11,Wiregrass Research and Extension Center,2006-2007,,Cotton,Drilled,No-till,19,cm,Yes,Ammonium nitrate,No,2/7/2007,
11,Wiregrass Research and Extension Center,2006-2007,,Cotton,Drilled,No-till,19,cm,Yes,Poultry litter,12/4/2006,No,
11,Wiregrass Research and Extension Center,2006-2007,,Cotton,Drilled,No-till,19,cm,Yes,Poultry litter,No,2/7/2007,
11,Wiregrass Research and Extension Center,2007-2008,,Cotton,Drilled,No-till,19,cm,Yes,Ammonium nitrate,11/19/2007,No,
11,Wiregrass Research and Extension Center,2007-2008,,Cotton,Drilled,No-till,19,cm,Yes,Ammonium nitrate,No,2/14/2008,
11,Wiregrass Research and Extension Center,2007-2008,,Cotton,Drilled,No-till,19,cm,Yes,Poultry litter,11/19/2007,No,
11,Wiregrass Research and Extension Center,2007-2008,,Cotton,Drilled,No-till,19,cm,Yes,Poultry litter,No,2/14/2008,
12,Gulf Coast Research and Extension Center,2003-2004,Peanut,Peanut,Drilled,No-till,,,No,,No,No,
12,Gulf Coast Research and Extension Center,2004-2005,Peanut,Peanut,Drilled,No-till,,,No,,No,No,
12,Gulf Coast Research and Extension Center,2005-2006,Peanut,Peanut,Drilled,No-till,,,,,No,No,
13,Prattville Agricultural Research Unit,2003-2004,Corn,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2003-2004,Corn,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2003-2004,Cotton,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2003-2004,Cotton,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2004-2005,Corn,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2004-2005,Corn,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2004-2005,Cotton,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2004-2005,Cotton,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2005-2006,Corn,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2005-2006,Corn,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2005-2006,Cotton,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2005-2006,Cotton,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2006-2007,Corn,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2006-2007,Corn,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2006-2007,Cotton,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2006-2007,Cotton,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2007-2008,Corn,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2007-2008,Corn,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2007-2008,Cotton,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2007-2008,Cotton,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2008-2009,Corn,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2008-2009,Corn,,Drilled,Reduced till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2008-2009,Cotton,,Drilled,No-till,,,Yes,,,,
13,Prattville Agricultural Research Unit,2008-2009,Cotton,,Drilled,Reduced till,,,Yes,,,,
14,"Fayetteville, AR",2018-2019,,,Drilled,,,,No,,,,
14,"Fayetteville, AR",2019-2020,,,Drilled,,,,No,,,,
14,"Georgetown, DE",2016-2017,,,Drilled,,,,No,,,,
14,"Georgetown, DE",2017-2018,,,Drilled,,,,No,,,,
14,"Georgetown, DE",2018-2019,,,Drilled,,,,No,,,,
14,"Georgetown, DE",2019-2020,,,Drilled,,,,No,,,,
14,"Savoy, IL",2016-2017,,,Drilled,,,,No,,,,
14,"IL-Maxwell Trust Farm, IL",2017-2018,,,Drilled,,,,No,,,,
14,"IL-Maxwell Trust Farm, IL",2018-2019,,,Drilled,,,,No,,,,
14,"IL-Maxwell Trust Farm, IL",2019-2020,,,Drilled,,,,No,,,,
14,"Central Research Station, Baton Rouge, LA",2017-2018,,,Drilled,,,,No,,,,
14,"Central Research Station, LA",2018-2019,,,Drilled,,,,No,,,,
14,"Central Research Station, LA",2019-2020,,,Drilled,,,,No,,,,
14,"BARC Field SG 6-7, MD",2016-2017,,,Drilled,,,,No,,,,
14,"BARC Field SG 6-7, MD",2017-2018,,,Drilled,,,,No,,,,
14,"BARC Field 1-20B, MD",2019-2020,,,Drilled,,,,No,,,,
14,"Rosemount, MN",2016-2017,,,Drilled,,,,No,,,,
14,"Rosemount, MN",2017-2018,,,Drilled,,,,No,,,,
14,"Rosemount, MN",2018-2019,,,Drilled,,,,No,,,,
14,"Becker, MN",2019-2020,,,Drilled,,,,No,,,,
14,"Bradford Research Center, MO",2016-2017,,,Drilled,,,,No,,,,
14,"Bradford Research Center, MO",2017-2018,,,Drilled,,,,No,,,,
14,"Bradford Research Center, MO",2018-2019,,,Drilled,,,,No,,,,
14,"Bradford Research Center, MO",2019-2020,,,Drilled,,,,No,,,,
14,"Rocky Mount, NC",2017-2018,,,Drilled,,,,No,,,,
14,"Rocky Mount, NC",2018-2019,,,Drilled,,,,No,,,,
14,"Rocky Mount, NC",2019-2020,,,Drilled,,,,No,,,,
14,"ENREC, Ithaca, NE",2016-2017,,,Drilled,,,,No,,,,
14,"ENREC, Ithaca, NE",2017-2018,,,Drilled,,,,No,,,,
14,"ENREC, Ithaca, NE",2018-2019,,,Drilled,,,,No,,,,
14,"NREC, NE",2019-2020,,,Drilled,,,,No,,,,
14,"College Station, TX",2018-2019,,,Drilled,,,,No,,,,
14,"College Station, TX",2019-2020,,,Drilled,,,,No,,,,
14,"Kentland Farm, Blacksburg, VA",2016-2017,,,Drilled,,,,No,,,,
14,"Kentland Farm, Blacksburg, VA",2017-2018,,,Drilled,,,,No,,,,
14,"Kentland Farm, Blacksburg, VA",2018-2019,,,Drilled,,,,No,,,,
14,"Kentland Farm, Blacksburg, VA",2019-2020,,,Drilled,,,,No,,,,
15,BRADFORD.B1,2011-2012,,corn,Drilled,No-till,,,No,,,,
15,BRADFORD.B1,2012-2013,,corn,Broadcast,No-till,,,No,,,,
15,BRADFORD.B1,2013-2014,,corn,Broadcast,No-till,,,No,,,,
15,BRADFORD.B2,2011-2012,,,Drilled,No-till,,,No,,,,
15,BRADFORD.B2,2012-2013,,,Drilled,No-till,,,No,,,,
15,BRADFORD.B2,2013-2014,,,Broadcast,No-till,,,No,,,,
15,BRADFORD.C,2011-2012,,,Drilled,No-till,,,No,,,,
15,BRADFORD.C,2012-2013,,,Drilled,No-till,,,No,,,,
15,BRADFORD.C,2013-2014,,,Broadcast,No-till,,,No,,,,
15,FREEMAN,2011-2012,,,Broadcast,No-till,,,No,,,,
15,FREEMAN,2012-2013,,,Broadcast,No-till,,,No,,,,
15,FREEMAN,2013-2014,,,Broadcast,No-till,,,No,,,,
15,FREEMAN,2014-2015,,,Broadcast,No-till,,,No,,,,
15,GILMORE,2010-2011,,,Drilled,No-till,,,No,,,,
15,GILMORE,2011-2012,,,Drilled,No-till,,,No,,,,
15,GILMORE,2012-2013,,,Drilled,No-till,,,No,,,,
15,GILMORE,2013-2014,,,Drilled,No-till,,,No,,,,
15,GILMORE,2014-2015,,soybean,Drilled,No-till,,,No,,,,rye was drilled in soybeans
15,GILMORE,2014-2015,,corn,Broadcast,No-till,,,No,,,,rye was broadcast in corn
15,ISUAG,2011-2012,,,Drilled,No-till,,,No,,,,
15,ISUAG,2012-2013,,,Drilled,No-till,,,No,,,,
15,ISUAG,2013-2014,,,Drilled,No-till,,,No,,,,
15,ISUAG,2014-2015,,,Drilled,No-till,,,No,,,,
15,ISUAG.USB,2013-2014,,,Drilled,No-till,,,No,,,,
15,ISUAG.USB,2014-2015,,,Broadcast,No-till,,,No,,,,
15,KELLOGG,2012-2013,,,Drilled,No-till,,,No,,,,
15,KELLOGG,2013-2014,,,Drilled,No-till,,,No,,,,
15,KELLOGG,2014-2015,,,Drilled,No-till,,,No,,,,
15,MASON,2012-2013,,,Drilled,No-till,,,No,,,,
15,MASON,2013-2014,,,Drilled,No-till,,,No,,,,
15,MASON,2014-2015,,,Drilled,No-till,,,No,,,,
15,SEPAC,2011-2012,,,Drilled,No-till,,,No,,,,
15,SEPAC,2012-2013,,,Drilled,No-till,,,Yes,,,,some plots fertilized in spring
15,SEPAC,2013-2014,,,Drilled,No-till,,,No,,,,
15,SEPAC,2014-2015,,,Drilled,No-till,,,Yes,,,,some plots fertilized in spring
15,WOOSTER.COV,2011-2012,,,Broadcast,No-till,,,No,,,,
15,WOOSTER.COV,2012-2013,,,Broadcast,No-till,,,No,,,,
15,WOOSTER.COV,2013-2014,,,Broadcast,No-till,,,No,,,,
15,WOOSTER.COV,2014-2015,,,Broadcast,No-till,,,Yes,,,,
16,"College Station, TX I",2020-2021,cotton,,Drilled,,,,Yes,,,,various seeding rates
16,"College Station, TX I",2020-2021,cotton,,Drilled,,,,Yes,,,,various seeding rates
16,"College Station, TX I",2020-2021,cotton,,Drilled,,,,Yes,,,,various seeding rates
16,"College Station, TX II",2020-2021,soybeans,,Drilled,,,,No,,,,
16,"College Station, TX II",2021-2022,soybeans,,Drilled,,,,No,,,,
16,"College Station, TX III",2020-2021,cotton,,Broadcast,,,,Yes,,,,
16,"College Station, TX III",2021-2022,cotton,,Broadcast,,,,Yes,,,,
17,Lancaster,2014-2015,,,Drilled,,,,No,,,,
17,Lancaster,2015-2016,,,Drilled,,,,No,,,,
17,Lancaster,2016-2017,,,Drilled,,,,No,,,,
17,Arlington,2014-2015,,,Drilled,,,,No,,,,
17,Arlington,2015-2016,,,Drilled,,,,No,,,,
17,Arlington,2016-2017,,,Drilled,,,,No,,,,
17,Hancock,2014-2015,,,Drilled,,,,No,,,,
17,Hancock,2015-2016,,,Drilled,,,,No,,,,
17,Hancock,2016-2017,,,Drilled,,,,No,,,,
17,Marshfield,2014-2015,,,Drilled,,,,No,,,,
17,Marshfield,2015-2016,,,Drilled,,,,No,,,,
17,Marshfield,2016-2017,,,Drilled,,,,No,,,,
18,University of Wisconsin Arlington Agricultural Research Station,2011-2012,corn silage,corn silage,Drilled,No-till,,,No,,,,"""The tenfold increase in RyeCC aboveground biomass and N uptake in 2012 and 2016 as compared to other years and the twofold increase in rye forage yield in the RyeHarv treatment in the same study years may be attributed to temperatures exceeding normal in the associated rye growth periods (mean monthly temperature 2.25 and 3.25 °C above normal September through April for 2011–2012 and 2015–2016, respectively), particularly in contrast to below normal temperatures during rye growth periods in the other study years (also observed in Martinez-Feria et al. 2016)."""
18,University of Wisconsin Arlington Agricultural Research Station,2012-2013,corn silage,corn silage,Drilled,No-till,,,No,,,,
18,University of Wisconsin Arlington Agricultural Research Station,2013-2014,corn silage,corn silage,Drilled,No-till,,,No,,,,
18,University of Wisconsin Arlington Agricultural Research Station,2014-2015,corn silage,corn silage,Drilled,Conventiol till,,,No,,,,
18,University of Wisconsin Arlington Agricultural Research Station,2016-2017,corn silage,corn silage,Drilled,No-till,,,No,,,,
19,Soaring Eagle Dairy,2014-2015,,corn silage,Drilled,,,,No,,,,
19,Soaring Eagle Dairy,2015-2016,,corn silage,Drilled,,,,Yes,manure,,,
20,"Georgetown, DE",2012-2013,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
20,"Georgetown, DE",2013-2014,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
20,"Georgetown, DE",2014-2015,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
20,"Georgetown, DE",2015-2016,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
20,"Georgetown, DE",2016-2017,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
20,"Georgetown, DE",2017-2018,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
20,"Georgetown, DE",2018-2019,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
20,"Georgetown, DE",2019-2020,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
20,"Georgetown, DE",2020-2021,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
20,"Middletown, DE",2018-2019,various,various,Drilled,,,,,,,,"These are many small trials that are entered as one experiment. There were different treatments for some of these variables such as seeding rate, tillage, and previous/following crop."
21,University of Maryland Wye Research and Education Center,2016-2017,corn,corn,Drilled,No-till,19.1,cm,No,,,,
21,University of Maryland Wye Research and Education Center,2017-2018,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,"Beltsville Agricultural Research Center, Beltsville, MD",2016-2017,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,"Beltsville Agricultural Research Center, Beltsville, MD",2017-2018,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,University of Delaware Carvel Research and Education Center,2017-2018,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,University of Delaware Carvel Research and Education Center,2018-2019,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,University of Massachusetts Crop and Animal Research and Education Center,2017-2018,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,University of Massachusetts Crop and Animal Research and Education Center,2018-2019,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,Cornell University Agriculture Experiment Station,2017-2018,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,Cornell University Agriculture Experiment Station,2018-2019,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,Pennsylvania State University the Pennsylvania Department of Agriculture Livestock Evaluation Center,2017-2018,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
21,Pennsylvania State University the Pennsylvania Department of Agriculture Livestock Evaluation Center,2018-2019,soybean,corn,Drilled,No-till,19.1,cm,No,,,,
22,DE,2020-2021,Corn,corn,Drilled,No-till,7.5,inches,No,,,,
22,FL,2020-2021,Corn,cotton,Drilled,No-till,7.5,inches,No,,,,
22,IN,2020-2021,corn,corn,Drilled,No-till,7.5,inches,No,,,,
22,KS,2020-2021,Wheat,corn,Drilled,No-till,7.5,inches,No,,,,
22,KY,2020-2021,Silage corn,corn,Drilled,No-till,7.5,inches,No,,,,
22,LA,2020-2021,Corn,cotton,Drilled,No-till,7.5,inches,No,,,,
22,MD,2020-2021,Wheat/Corn,corn,Drilled,No-till,7.5,inches,No,,,,
22,NC,2020-2021,Silage corn,corn,Drilled,No-till,7.5,inches,No,,,,
22,NE,2020-2021,Oats,corn,Drilled,No-till,7.5,inches,No,,,,
22,NY,2020-2021,Winter wheat,corn,Drilled,No-till,7.5,inches,No,,,,
22,PA,2020-2021,Oats,corn,Drilled,No-till,7.5,inches,No,,,,
22,SC,2020-2021,Corn,cotton,Drilled,No-till,7.5,inches,No,,,,
22,VT,2020-2021,Wheat or Barley,corn,Drilled,No-till,7.5,inches,No,,,,
22,WI,2020-2021,Silage corn,corn,Drilled,No-till,7.5,inches,No,,,,
22,KY,2021-2022,Silage corn,corn,Drilled,No-till,7.5,inches,No,,,,
22,MD,2021-2022,corn/Sorghum sudan grass,corn,Drilled,No-till,7.5,inches,No,,,,
22,NY,2021-2022,,corn,Drilled,No-till,7.5,inches,No,,,,
22,SC,2021-2022,,cotton,Drilled,No-till,7.5,inches,No,,,,
22,VT,2021-2022,Milkweed,corn,Drilled,No-till,7.5,inches,No,,,,
22,PA,2021-2022,,,Drilled,No-till,,,No,,,,
22,WI,2021-2022,,,Drilled,No-till,,,No,,,,
22,NE,2021-2022,,,Drilled,No-till,,,No,,,,
22,NC,2021-2022,,,Drilled,No-till,,,No,,,,
22,FL,2021-2022,,,Drilled,No-till,,,No,,,,
22,DE,2021-2022,,,Drilled,No-till,,,No,,,,
23,IVU,2020-2021,,,Drilled,,,,Yes,,,,
23,TXE,2020-2021,,,Broadcast,,,,No,,,,
23,URF,2020-2021,,,Broadcast,,,,No,,,,
23,UCT,2020-2021,,,Broadcast,,,,No,,,,
23,UFH,2020-2021,,,Broadcast,,,,No,,,,
23,IMT,2020-2021,,,Drilled,,,,No,,,,
23,LKB,2020-2021,,,Drilled,,,,Yes,,,,
23,POG,2020-2021,,,Drilled,,,,No,,,,
24,Albion,2017-2018,,,Broadcast,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Boone,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Boone,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Galva,2017-2018,,,Broadcast,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Galva,2018-2019,,,Broadcast,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Galva,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Galva,2019-2020,,,Broadcast,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Gravity,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Gravity,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Hastings,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Hastings,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Hastings,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Hastings,2019-2020,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Hastings,2019-2020,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Keota,2016-2017,,,Broadcast,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Keota,2016-2017,,,Broadcast,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Keota,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Lenox,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Lenox,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Lenox,2019-2020,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Lenox,2019-2020,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Osage,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Osage,2018-2019,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Osage,2019-2020,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Osage,2019-2020,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Reinbeck,2014-2015,,,Broadcast,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Reinbeck,2014-2015,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Reinbeck,2016-2017,,,Broadcast,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
24,Weldon,2017-2018,,,Drilled,,,,No,,,,There are often different seeding rates and planting dates at the same site-year in these studies
25,East Farm,2021-2022,,,Drilled,,,,No,,,,
25,Hayden Farm,2021-2022,,,Drilled,,,,Yes,,,,
26,North Farm,2017-2018,soybean,,Drilled,,,,No,,,,
26,East Farm,2018-2019,soybean,,Drilled,,,,No,,,,
26,Hayden Farm,2018-2019,soybean,,Drilled,,,,No,,,,
27,VT Eastern Shore Agricultural Research and Extension Center,2014-2015,potatoes,,Drilled,No-till,,,No,,,,
27,VT Eastern Shore Agricultural Research and Extension Center,2015-2016,corn,,Drilled,No-till,,,No,,,,
27,VT Eastern Shore Agricultural Research and Extension Center,2016-2017,corn,,Drilled,No-till,,,No,,,,
27,VT Eastern Shore Agricultural Research and Extension Center,2017-2018,corn,,Drilled,No-till,,,No,,,,
27,VT Eastern Shore Agricultural Research and Extension Center,2018-2019,corn,,Drilled,No-till,,,No,,,,
27,VT Eastern Shore Agricultural Research and Extension Center,2019-2020,corn,,Drilled,No-till,,,No,,,,
27,VT Eastern Shore Agricultural Research and Extension Center,2020-2021,corn,,Drilled,No-till,,,No,,,,
27,VT Eastern Shore Agricultural Research and Extension Center,2021-2022,corn,,Drilled,No-till,,,No,,,,
27,VT Eastern Shore Agricultural Research and Extension Center,2022-2023,corn,,Drilled,No-till,,,No,,,,
28,West Florida Research and Education Center,2020-2021,,,Drilled,,7.5,inches,No,,,,
28,West Florida Research and Education Center,2021-2022,,,Drilled,,7.5,inches,No,,,,
28,West Florida Cover Crop Expt,2020-2021,,,Drilled,,7.5,inches,No,,,,
28,West Florida Cover Crop Expt,2021-2022,,,Drilled,,7.5,inches,No,,,,
28,West Florida Farmer Field Trial 1,2020-2021,,,Broadcast,,,,No,,,,
28,West Florida Farmer Field Trial 2,2021-2022,,,Drilled,,,,No,,,,
29,"Beltsville Agricultural Research Center, Beltsville, MD",2014-2015,,,Drilled,,7.5,inches,No,,,,
29,MUSG,2014-2015,,,Drilled,,7.5,inches,Yes,poultry.5-4-3,,,
